Perturb W&B Console Log
UID      : 0
Run      : 20260514-041842-uid0  [e8vnj3c8]
URL      : https://wandb.ai/perturb-ai/perturb-validator/runs/e8vnj3c8/logs
Started  : 2026-05-14T11:24:11.392579+00:00
================================================================================

2026-05-14 11:16:27,690 | __main__ | INFO | uid=5 status=200 score=0.779681 processed=197 reason=success norm=0.003922 rmse=0.003214 epsilon=0.122800 ssim=0.996941 psnr_db=49.8589
2026-05-14 11:16:27,690 | __main__ | INFO | uid=12 status=408 score=0.000000 processed=190 reason=response_missing_or_status_error norm=0.000000 rmse=0.000000 epsilon=0.000000 ssim=0.000000 psnr_db=0.0000
2026-05-14 11:16:27,691 | __main__ | INFO | uid=14 status=503 score=0.000000 processed=208 reason=response_missing_or_status_error norm=0.000000 rmse=0.000000 epsilon=0.000000 ssim=0.000000 psnr_db=0.0000
2026-05-14 11:16:27,691 | __main__ | INFO | uid=16 status=503 score=0.000000 processed=194 reason=response_missing_or_status_error norm=0.000000 rmse=0.000000 epsilon=0.000000 ssim=0.000000 psnr_db=0.0000
2026-05-14 11:16:27,691 | __main__ | INFO | verify_and_score task_id=8181595-2442149837399482628 response_time_ms=744
2026-05-14 11:16:27,724 | __main__ | INFO | uid=20 status=200 score=0.000000 processed=162 reason=above_max_delta norm=0.094118 rmse=0.012717 epsilon=0.122800 ssim=0.000000 psnr_db=0.0000
2026-05-14 11:16:27,725 | __main__ | INFO | uid=21 status=503 score=0.000000 processed=164 reason=response_missing_or_status_error norm=0.000000 rmse=0.000000 epsilon=0.000000 ssim=0.000000 psnr_db=0.0000
2026-05-14 11:16:27,725 | __main__ | INFO | uid=27 status=503 score=0.000000 processed=209 reason=response_missing_or_status_error norm=0.000000 rmse=0.000000 epsilon=0.000000 ssim=0.000000 psnr_db=0.0000
2026-05-14 11:16:27,725 | __main__ | INFO | uid=30 status=503 score=0.000000 processed=178 reason=response_missing_or_status_error norm=0.000000 rmse=0.000000 epsilon=0.000000 ssim=0.000000 psnr_db=0.0000
2026-05-14 11:16:27,726 | __main__ | INFO | uid=33 status=503 score=0.000000 processed=161 reason=response_missing_or_status_error norm=0.000000 rmse=0.000000 epsilon=0.000000 ssim=0.000000 psnr_db=0.0000
2026-05-14 11:16:27,726 | __main__ | INFO | uid=35 status=503 score=0.000000 processed=193 reason=response_missing_or_status_error norm=0.000000 rmse=0.000000 epsilon=0.000000 ssim=0.000000 psnr_db=0.0000
2026-05-14 11:16:27,727 | __main__ | INFO | uid=37 status=503 score=0.000000 processed=202 reason=response_missing_or_status_error norm=0.000000 rmse=0.000000 epsilon=0.000000 ssim=0.000000 psnr_db=0.0000
2026-05-14 11:16:27,727 | __main__ | INFO | uid=38 status=503 score=0.000000 processed=174 reason=response_missing_or_status_error norm=0.000000 rmse=0.000000 epsilon=0.000000 ssim=0.000000 psnr_db=0.0000
2026-05-14 11:16:27,727 | __main__ | INFO | uid=41 status=503 score=0.000000 processed=183 reason=response_missing_or_status_error norm=0.000000 rmse=0.000000 epsilon=0.000000 ssim=0.000000 psnr_db=0.0000
2026-05-14 11:16:27,727 | __main__ | INFO | uid=42 status=503 score=0.000000 processed=186 reason=response_missing_or_status_error norm=0.000000 rmse=0.000000 epsilon=0.000000 ssim=0.000000 psnr_db=0.0000
2026-05-14 11:16:27,728 | __main__ | INFO | uid=43 status=503 score=0.000000 processed=180 reason=response_missing_or_status_error norm=0.000000 rmse=0.000000 epsilon=0.000000 ssim=0.000000 psnr_db=0.0000
2026-05-14 11:16:27,728 | __main__ | INFO | verify_and_score task_id=8181595-2442149837399482628 response_time_ms=1632
2026-05-14 11:16:27,763 | __main__ | INFO | uid=44 status=200 score=0.912479 processed=165 reason=success norm=0.003922 rmse=0.003077 epsilon=0.122800 ssim=0.996725 psnr_db=50.2374
2026-05-14 11:16:27,764 | __main__ | INFO | verify_and_score task_id=8181595-2442149837399482628 response_time_ms=13456
2026-05-14 11:16:27,798 | __main__ | INFO | uid=45 status=200 score=0.000000 processed=169 reason=label_match_with_original norm=0.007843 rmse=0.005844 epsilon=0.122800 ssim=0.000000 psnr_db=0.0000
2026-05-14 11:16:27,799 | __main__ | INFO | verify_and_score task_id=8181595-2442149837399482628 response_time_ms=3823
2026-05-14 11:16:27,834 | __main__ | INFO | uid=47 status=200 score=0.885323 processed=173 reason=success norm=0.003922 rmse=0.003214 epsilon=0.122800 ssim=0.996940 psnr_db=49.8589
2026-05-14 11:16:27,834 | __main__ | INFO | verify_and_score task_id=8181595-2442149837399482628 response_time_ms=18078
2026-05-14 11:16:27,869 | __main__ | INFO | uid=50 status=200 score=0.000000 processed=162 reason=above_max_delta norm=0.094118 rmse=0.017606 epsilon=0.122800 ssim=0.000000 psnr_db=0.0000
2026-05-14 11:16:27,869 | __main__ | INFO | uid=54 status=503 score=0.000000 processed=185 reason=response_missing_or_status_error norm=0.000000 rmse=0.000000 epsilon=0.000000 ssim=0.000000 psnr_db=0.0000
2026-05-14 11:16:27,870 | __main__ | INFO | uid=55 status=503 score=0.000000 processed=180 reason=response_missing_or_status_error norm=0.000000 rmse=0.000000 epsilon=0.000000 ssim=0.000000 psnr_db=0.0000
2026-05-14 11:16:27,870 | __main__ | INFO | verify_and_score task_id=8181595-2442149837399482628 response_time_ms=2364
2026-05-14 11:16:27,905 | __main__ | INFO | uid=58 status=200 score=0.911235 processed=191 reason=success norm=0.003922 rmse=0.002459 epsilon=0.122800 ssim=0.998226 psnr_db=52.1856
2026-05-14 11:16:27,906 | __main__ | INFO | verify_and_score task_id=8181595-2442149837399482628 response_time_ms=2059
2026-05-14 11:16:27,941 | __main__ | INFO | uid=59 status=200 score=0.910660 processed=195 reason=success norm=0.003922 rmse=0.002807 epsilon=0.122800 ssim=0.997628 psnr_db=51.0343
2026-05-14 11:16:27,941 | __main__ | INFO | uid=60 status=503 score=0.000000 processed=189 reason=response_missing_or_status_error norm=0.000000 rmse=0.000000 epsilon=0.000000 ssim=0.000000 psnr_db=0.0000
2026-05-14 11:16:27,942 | __main__ | INFO | uid=62 status=408 score=0.000000 processed=183 reason=response_missing_or_status_error norm=0.000000 rmse=0.000000 epsilon=0.000000 ssim=0.000000 psnr_db=0.0000
2026-05-14 11:16:27,942 | __main__ | INFO | verify_and_score task_id=8181595-2442149837399482628 response_time_ms=506
2026-05-14 11:16:27,977 | __main__ | INFO | uid=65 status=200 score=0.936642 processed=168 reason=success norm=0.003922 rmse=0.002148 epsilon=0.122800 ssim=0.998752 psnr_db=53.3597
2026-05-14 11:16:27,977 | __main__ | INFO | verify_and_score task_id=8181595-2442149837399482628 response_time_ms=832
2026-05-14 11:16:28,010 | __main__ | INFO | uid=71 status=200 score=0.949338 processed=157 reason=success norm=0.003922 rmse=0.000813 epsilon=0.122800 ssim=0.999772 psnr_db=61.7999
2026-05-14 11:16:28,011 | __main__ | INFO | verify_and_score task_id=8181595-2442149837399482628 response_time_ms=833
2026-05-14 11:16:28,045 | __main__ | INFO | uid=72 status=200 score=0.935808 processed=161 reason=success norm=0.003922 rmse=0.001902 epsilon=0.122800 ssim=0.998940 psnr_db=54.4158
2026-05-14 11:16:28,046 | __main__ | INFO | verify_and_score task_id=8181595-2442149837399482628 response_time_ms=772
2026-05-14 11:16:28,079 | __main__ | INFO | uid=74 status=200 score=0.950038 processed=203 reason=success norm=0.003922 rmse=0.000813 epsilon=0.122800 ssim=0.999772 psnr_db=61.7999
2026-05-14 11:16:28,080 | __main__ | INFO | verify_and_score task_id=8181595-2442149837399482628 response_time_ms=3618
2026-05-14 11:16:28,114 | __main__ | INFO | uid=75 status=200 score=0.887728 processed=167 reason=success norm=0.003922 rmse=0.003213 epsilon=0.122800 ssim=0.996930 psnr_db=49.8622
2026-05-14 11:16:28,115 | __main__ | INFO | uid=78 status=503 score=0.000000 processed=175 reason=response_missing_or_status_error norm=0.000000 rmse=0.000000 epsilon=0.000000 ssim=0.000000 psnr_db=0.0000
2026-05-14 11:16:28,115 | __main__ | INFO | verify_and_score task_id=8181595-2442149837399482628 response_time_ms=4961
2026-05-14 11:16:28,150 | __main__ | INFO | uid=83 status=200 score=0.880027 processed=193 reason=success norm=0.003922 rmse=0.002535 epsilon=0.122800 ssim=0.998045 psnr_db=51.9201
2026-05-14 11:16:28,151 | __main__ | INFO | uid=84 status=503 score=0.000000 processed=173 reason=response_missing_or_status_error norm=0.000000 rmse=0.000000 epsilon=0.000000 ssim=0.000000 psnr_db=0.0000
2026-05-14 11:16:28,151 | __main__ | INFO | verify_and_score task_id=8181595-2442149837399482628 response_time_ms=4302
2026-05-14 11:16:28,185 | __main__ | INFO | uid=91 status=200 score=0.898658 processed=189 reason=success norm=0.003922 rmse=0.001631 epsilon=0.122800 ssim=0.999230 psnr_db=55.7534
2026-05-14 11:16:28,186 | __main__ | INFO | verify_and_score task_id=8181595-2442149837399482628 response_time_ms=4028
2026-05-14 11:16:28,220 | __main__ | INFO | uid=96 status=200 score=0.901855 processed=183 reason=success norm=0.003922 rmse=0.001631 epsilon=0.122800 ssim=0.999230 psnr_db=55.7534
2026-05-14 11:16:28,221 | __main__ | INFO | verify_and_score task_id=8181595-2442149837399482628 response_time_ms=4562
2026-05-14 11:16:28,255 | __main__ | INFO | uid=97 status=200 score=0.897528 processed=198 reason=success norm=0.003922 rmse=0.001476 epsilon=0.122800 ssim=0.999364 psnr_db=56.6175
2026-05-14 11:16:28,256 | __main__ | INFO | uid=101 status=503 score=0.000000 processed=176 reason=response_missing_or_status_error norm=0.000000 rmse=0.000000 epsilon=0.000000 ssim=0.000000 psnr_db=0.0000
2026-05-14 11:16:28,256 | __main__ | INFO | uid=102 status=503 score=0.000000 processed=169 reason=response_missing_or_status_error norm=0.000000 rmse=0.000000 epsilon=0.000000 ssim=0.000000 psnr_db=0.0000
2026-05-14 11:16:28,256 | __main__ | INFO | verify_and_score task_id=8181595-2442149837399482628 response_time_ms=1372
2026-05-14 11:16:28,291 | __main__ | INFO | uid=104 status=200 score=0.937435 processed=198 reason=success norm=0.003922 rmse=0.001259 epsilon=0.122800 ssim=0.999353 psnr_db=57.9975
2026-05-14 11:16:28,291 | __main__ | INFO | uid=105 status=503 score=0.000000 processed=190 reason=response_missing_or_status_error norm=0.000000 rmse=0.000000 epsilon=0.000000 ssim=0.000000 psnr_db=0.0000
2026-05-14 11:16:28,292 | __main__ | INFO | verify_and_score task_id=8181595-2442149837399482628 response_time_ms=838
2026-05-14 11:16:28,327 | __main__ | INFO | uid=106 status=200 score=0.684295 processed=175 reason=success norm=0.011765 rmse=0.004898 epsilon=0.122800 ssim=0.992843 psnr_db=46.2005
2026-05-14 11:16:28,328 | __main__ | INFO | uid=108 status=503 score=0.000000 processed=166 reason=response_missing_or_status_error norm=0.000000 rmse=0.000000 epsilon=0.000000 ssim=0.000000 psnr_db=0.0000
2026-05-14 11:16:28,328 | __main__ | INFO | uid=109 status=503 score=0.000000 processed=175 reason=response_missing_or_status_error norm=0.000000 rmse=0.000000 epsilon=0.000000 ssim=0.000000 psnr_db=0.0000
2026-05-14 11:16:28,328 | __main__ | INFO | uid=112 status=503 score=0.000000 processed=163 reason=response_missing_or_status_error norm=0.000000 rmse=0.000000 epsilon=0.000000 ssim=0.000000 psnr_db=0.0000
2026-05-14 11:16:28,329 | __main__ | INFO | uid=113 status=503 score=0.000000 processed=182 reason=response_missing_or_status_error norm=0.000000 rmse=0.000000 epsilon=0.000000 ssim=0.000000 psnr_db=0.0000
2026-05-14 11:16:28,329 | __main__ | INFO | uid=114 status=503 score=0.000000 processed=161 reason=response_missing_or_status_error norm=0.000000 rmse=0.000000 epsilon=0.000000 ssim=0.000000 psnr_db=0.0000
2026-05-14 11:16:28,329 | __main__ | INFO | uid=116 status=503 score=0.000000 processed=199 reason=response_missing_or_status_error norm=0.000000 rmse=0.000000 epsilon=0.000000 ssim=0.000000 psnr_db=0.0000
2026-05-14 11:16:28,330 | __main__ | INFO | uid=120 status=503 score=0.000000 processed=147 reason=response_missing_or_status_error norm=0.000000 rmse=0.000000 epsilon=0.000000 ssim=0.000000 psnr_db=0.0000
2026-05-14 11:16:28,330 | __main__ | INFO | verify_and_score task_id=8181595-2442149837399482628 response_time_ms=4189
